member,phrase,phrase_label,augmentation,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,rolloff_mean,rolloff_std,rms_mean,rms_std,zcr_mean,centroid_mean
Glory,approve,"Yes, approve",original,-316.24176025390625,58.979496002197266,142.94305419921875,41.43317413330078,-14.5488862991333,17.89825439453125,43.27989196777344,14.261697769165039,12.499125480651855,10.604841232299805,9.8521089553833,13.446776390075684,-5.809309005737305,10.156482696533203,-4.807453155517578,8.676811218261719,0.42463529109954834,6.101781845092773,-2.1495471000671387,5.595395088195801,7.029605388641357,7.170353412628174,1.2272813320159912,6.152355194091797,1.2061340808868408,5.654994487762451,2986.1044240552324,1585.4287670642857,0.025359662249684334,0.022167973220348358,0.07594098231589147,1458.5991311935325
Glory,approve,"Yes, approve",pitch_up,-342.45819091796875,54.20328140258789,134.24485778808594,38.76526641845703,-12.93498420715332,17.588109970092773,44.8314094543457,14.58365535736084,5.97442626953125,9.176156997680664,5.6421380043029785,13.765480995178223,-11.843050003051758,9.031922340393066,1.0118070840835571,9.793530464172363,-0.24118751287460327,6.354381084442139,3.5784828662872314,7.521597862243652,5.627987384796143,7.305833339691162,-1.5561225414276123,6.029209136962891,2.078413724899292,4.914112567901611,3335.3095476017443,1610.945028068653,0.016550956293940544,0.01373108197003603,0.08302295300387597,1606.7659671604042
Glory,approve,"Yes, approve",pitch_down,-362.32049560546875,54.84769058227539,149.38304138183594,38.15889358520508,-17.790742874145508,15.95144271850586,41.64487075805664,13.174398422241211,15.781275749206543,15.475648880004883,14.030280113220215,13.61249828338623,-1.7870333194732666,13.563632011413574,-4.78378963470459,7.913990020751953,-2.07328724861145,7.393345355987549,-2.6140291690826416,5.4217729568481445,0.1334252506494522,4.840913772583008,8.737874031066895,8.996993064880371,-1.6363751888275146,7.254912376403809,2681.3010992005816,1401.9133300173223,0.017072763293981552,0.014709957875311375,0.06483542272286821,1300.8958361521254
Glory,approve,"Yes, approve",time_stretch_fast,-354.1732177734375,58.9767951965332,144.51820373535156,41.72958755493164,-17.706073760986328,18.60785675048828,44.907447814941406,13.69826889038086,10.653108596801758,11.26348876953125,11.96995735168457,13.795184135437012,-7.474692344665527,11.028250694274902,-2.9727792739868164,7.863019943237305,0.5342041850090027,6.236550807952881,-0.5036183595657349,5.2973222732543945,7.922909259796143,6.6140666007995605,2.152423143386841,6.524155616760254,1.4842064380645752,6.905474662780762,3016.741943359375,1555.642810240539,0.016338080167770386,0.01291516050696373,0.07403338396990741,1471.185591845791
Glory,approve,"Yes, approve",time_stretch_slow,-351.76239013671875,54.40814971923828,138.0775146484375,39.246177673339844,-12.124859809875488,17.85910987854004,41.45477294921875,13.86910343170166,15.127476692199707,11.390544891357422,8.50772762298584,13.481144905090332,-5.715287208557129,10.769790649414062,-5.217279434204102,7.844392776489258,1.1621023416519165,6.2061262130737305,-1.6627103090286255,6.275613784790039,6.951127529144287,7.4295125007629395,1.6967837810516357,7.348561763763428,0.796994149684906,5.935044765472412,3024.635877107319,1559.8646513888339,0.016692720353603363,0.014878232963383198,0.07397782175164473,1470.2569337973139
Glory,approve,"Yes, approve",add_noise,-293.3456115722656,47.75448989868164,114.70223236083984,31.60689926147461,6.195091247558594,15.072321891784668,29.77625274658203,13.403990745544434,19.50688362121582,11.371116638183594,6.629904747009277,13.395832061767578,-5.070688247680664,9.334368705749512,-3.899155616760254,7.2500200271606445,-0.7561800479888916,6.161359786987305,-0.600350022315979,5.133123874664307,5.8022050857543945,7.431128025054932,1.8147404193878174,5.904569625854492,1.093272089958191,5.147902965545654,3874.5577080305234,1608.940358172969,0.02538289502263069,0.02216176874935627,0.0826217296511628,1880.0213697122622
Glory,approve,"Yes, approve",reverse,-314.87689208984375,55.80929183959961,142.79592895507812,40.7728271484375,-14.176774978637695,17.38845443725586,42.77593231201172,14.191292762756348,12.959826469421387,10.765165328979492,9.485132217407227,13.477375984191895,-5.473291873931885,10.343338012695312,-4.877477169036865,8.68430233001709,0.5902882814407349,6.072032451629639,-2.1305899620056152,5.568928241729736,7.038714408874512,7.2108154296875,1.3351340293884277,6.2105255126953125,1.123674750328064,5.599981784820557,2983.3501771438955,1592.2675025395404,0.025364631786942482,0.022173846140503883,0.07615673449612403,1456.2735018684045
Glory,confirm,Confirm transaction,original,-298.16400146484375,58.29495620727539,151.66796875,36.769859313964844,-6.471691608428955,19.190893173217773,30.0986270904541,22.102188110351562,-8.420614242553711,11.843602180480957,6.5140156745910645,10.800004959106445,-7.401870250701904,11.136181831359863,3.354238986968994,9.142013549804688,-6.246504783630371,9.81183910369873,3.469949960708618,9.015997886657715,-5.826447010040283,12.146778106689453,-1.3818769454956055,9.127460479736328,-6.899007797241211,11.15629768371582,2659.264453125,1699.7970092994892,0.0356525294482708,0.026602784171700478,0.06241015625,1386.3280863487787
Glory,confirm,Confirm transaction,pitch_up,-320.9131774902344,59.24542236328125,143.04238891601562,34.422386169433594,-7.089757919311523,16.902881622314453,22.322410583496094,23.18496322631836,-11.481163024902344,10.795853614807129,3.980093479156494,12.218360900878906,-6.955358028411865,10.57365608215332,1.8329510688781738,10.086747169494629,-5.8380632400512695,7.489746570587158,0.8474604487419128,9.120743751525879,-8.125712394714355,13.094599723815918,-1.877214789390564,10.635177612304688,-5.525169849395752,8.94283390045166,2837.6455078125,1625.4207691506906,0.02533412165939808,0.018929751589894295,0.07054296875,1498.1493448499614
Glory,confirm,Confirm transaction,pitch_down,-344.8614196777344,57.20367431640625,162.36839294433594,32.981815338134766,-10.255313873291016,19.790977478027344,37.429988861083984,20.04557991027832,-10.231748580932617,12.709968566894531,10.663249015808105,9.96408462524414,-9.454195022583008,11.012065887451172,4.83760404586792,9.964250564575195,-7.900505542755127,12.349892616271973,3.3438985347747803,9.633771896362305,-3.7167654037475586,12.563366889953613,0.08558468520641327,9.169868469238281,-4.534465789794922,10.911341667175293,2319.901171875,1409.9868900861607,0.024944180622696877,0.01789221167564392,0.05616015625,1212.6873707486334
